artist,followers,track_count,rank
Roddy Ricch,11141559,84,1
smokedope2016,68128,49,2
Snow Strippers,188890,45,3
Amelie Lens,652096,42,4
Uyama Hiroto,105673,42,5
Nujabes,1287503,41,6
Title Fight,508715,37,7
1tbsp,31722,35,8
TOKYOPILL,114752,34,9
Marlon Hoffstadt,135316,31,10
