genre,genre_percentage
Rap,24.76
Electronic,12.14
House,11.17
Alternative Rock,10.68
Indie,10.68
Dance,10.19
Hip Hop,5.83
Jazz,3.88
Soul,1.94
Rock,1.94
Ambient,1.46
Latin,1.46
Video Game,0.97
Punk,0.97
Techno,0.97
Reggae,0.97
